Scan,Time,ACF,202p,202p,202p,202p,,204p,204p,204p,204p,,206p,206p,206p,206p,206a,206a,206a,206a,,207p,207p,207p,207p,207a,207a,207a,207a,,208p,208p,208p,208p,208a,208a,208a,208a,,232p,232p,232p,232p,232a,232a,232a,232a,,238p,238p,238p,238p,238a,238a,238a,238a,
42,1442951558.638000,51.796875,1548.0,774.0,967.0,580.0,,128.0,902.0,128.0,0.0,,58855.0,61292.0,65868.0,58557.0,59048.4375,59048.4375,64228.125,59048.4375,,3031.0,3278.0,3631.0,3913.0,3625.78125,3625.78125,5438.671875,3625.78125,,29156.0,16711.0,20599.0,18655.0,40246.171875,0.0,20097.1875,20097.1875,,1268704.0,1146688.0,1137696.0,1243680.0,1287877.5,1167138.98438,1126892.8125,1247631.32812,,1897792.0,1814528.0,2007872.0,2000384.0,1888410.46875,1828429.6875,2043283.125,2003295.9375,
43,1442951558.962000,52.281250,774.0,967.0,1161.0,2322.0,,386.0,128.0,0.0,0.0,,65023.0,64078.0,76914.0,78756.0,64828.75,64828.75,77794.5,77794.5,,2890.0,3736.0,3031.0,3877.0,1829.84375,5489.53125,3659.6875,3659.6875,,21766.0,17100.0,13990.0,20211.0,20285.125,20285.125,0.0,40622.53125,,995696.0,983936.0,801360.0,1126272.0,1035848.40625,954603.34375,792113.21875,1117093.46875,,1996416.0,1900512.0,2060064.0,2354944.0,2006920.34375,1911088.8125,2132970.4375,2380051.625,
44,1442951559.287000,51.531250,580.0,193.0,967.0,387.0,,128.0,773.0,0.0,128.0,,74128.0,72138.0,78606.0,73530.0,76678.5,74101.9375,76678.5,71525.375,,4336.0,4900.0,4477.0,4018.0,5410.78125,5410.78125,3607.1875,5410.78125,,22933.0,29934.0,22155.0,31101.0,19994.125,40039.78125,19994.125,40039.78125,,1337344.0,1569888.0,1274848.0,1252288.0,1321312.78125,1561551.46875,1261227.34375,1281273.0,,1982432.0,2062176.0,2074304.0,2261184.0,1968184.5625,2042750.28125,2057642.8125,2301179.5,
45,1442951559.612000,51.796875,1161.0,1161.0,1548.0,2903.0,,515.0,128.0,773.0,257.0,,74924.0,72934.0,81942.0,69600.0,74483.90625,69356.015625,84739.6875,69356.015625,,3877.0,3772.0,3983.0,3490.0,3625.78125,5438.671875,3625.78125,5438.671875,,19044.0,23321.0,19044.0,24877.0,40246.171875,20097.1875,20097.1875,20097.1875,,986768.0,1288832.0,1265408.0,1065152.0,1006154.29688,1287877.5,1247631.32812,1086646.64062,,1950208.0,1896128.0,2149824.0,1950208.0,1953363.75,1868416.875,2153196.09375,1968333.04688,
46,1442951559.936000,51.656250,1355.0,1355.0,1355.0,1161.0,,644.0,0.0,386.0,0.0,,67360.0,72784.0,69002.0,73830.0,69167.71875,71698.875,71698.875,69167.71875,,3631.0,4371.0,4018.0,4442.0,1807.96875,7283.53125,5423.90625,3615.9375,,27600.0,24877.0,16322.0,19822.0,40136.90625,20042.625,20042.625,0.0,,1309376.0,1212928.0,1138528.0,1350112.0,1304423.625,1224149.8125,1163970.28125,1344560.53125,,2186560.0,2106816.0,2097728.0,2050496.0,2192187.9375,2087532.375,2107471.6875,2042694.75,
47,1442951560.261000,51.390625,1355.0,967.0,1161.0,774.0,,128.0,257.0,257.0,515.0,,63033.0,73182.0,80000.0,83486.0,61154.84375,73899.71875,81556.921875,81556.921875,,4265.0,3807.0,3913.0,4900.0,5396.015625,3597.34375,3597.34375,7246.078125,,20211.0,27211.0,27989.0,27600.0,19939.5625,39930.515625,19939.5625,39930.515625,,1177344.0,1226464.0,1055808.0,1370304.0,1217855.03125,1197915.46875,1058132.96875,1377577.09375,,1781792.0,2080544.0,2130432.0,2472512.0,1759563.60938,2096634.71875,2151160.17188,2458476.10938,
48,1442951560.586000,51.593750,1161.0,1161.0,774.0,387.0,,0.0,128.0,0.0,386.0,,77214.0,85428.0,81792.0,81444.0,76771.5,84407.375,81879.28125,79299.59375,,4442.0,3948.0,5358.0,3772.0,5417.34375,5417.34375,5417.34375,3611.5625,,17878.0,24488.0,25266.0,24488.0,40088.34375,20018.375,40088.34375,0.0,,1292096.0,1861472.0,1563232.0,1659872.0,1302845.375,1884152.15625,1603533.75,1703728.8125,,2282304.0,2576128.0,2644288.0,2241600.0,2264191.71875,2577675.34375,2607548.125,2214403.75,
49,1442951560.910000,51.750000,2516.0,1161.0,1161.0,967.0,,257.0,257.0,0.0,257.0,,81494.0,81294.0,85178.0,87320.0,79539.75,82127.25,82127.25,89838.0,,3948.0,4336.0,4230.0,5147.0,3622.5,5433.75,5433.75,5433.75,,24488.0,20988.0,22155.0,32268.0,40209.75,20079.0,0.0,60288.75,,1614400.0,1716288.0,1903200.0,1905312.0,1628469.0,1749098.25,1869727.5,1909937.25,,2346880.0,2597376.0,2480576.0,2669120.0,2315967.75,2625432.75,2490624.0,2680287.75,
50,1442951561.235000,51.984375,1161.0,774.0,1355.0,1355.0,,257.0,902.0,128.0,128.0,,87768.0,82788.0,89610.0,98626.0,87645.65625,82499.203125,87645.65625,97938.5625,,4336.0,3877.0,4124.0,4829.0,5458.359375,5458.359375,3638.90625,5458.359375,,31879.0,34991.0,27600.0,32657.0,20169.9375,60561.796875,20169.9375,20169.9375,,1519616.0,1491840.0,1714176.0,1723392.0,1534890.65625,1514668.73438,1736849.95312,1716628.03125,,2790336.0,2504512.0,1992928.0,2424640.0,2797747.07812,2511936.98438,1985491.21875,2411659.125,
51,1442951561.560000,51.843750,967.0,1548.0,580.0,0.0,,386.0,386.0,386.0,257.0,,85328.0,95288.0,83486.0,89360.0,87408.5625,97673.625,82276.03125,84816.375,,4230.0,4583.0,4970.0,5006.0,3629.0625,3629.0625,7309.96875,5443.59375,,25655.0,30712.0,30712.0,34213.0,40282.59375,20115.375,40282.59375,40282.59375,,1553664.0,1631904.0,1596928.0,1674464.0,1631419.125,1611303.75,1591136.53125,1691868.9375,,2579328.0,912624.0*,0.0*,0.0*,2565176.90625,2650148.8125,2910197.0625,2910197.0625,
